,module,kME,kIN,rename
Lysine,grey,-0.226785699378418,0.0086819954793107,M14-Lysine
L-Carnitine,sienna3,0.855172896621369,0.0724857322972496,M29-L-Carnitine
5-Formylsalicylic acid,grey,0.136494742538434,0.0261780216863448,M14-5-Formylsalicylic acid
5-Methoxysalicylic acid,grey,0.0869060499418777,0.0264888333227777,M14-5-Methoxysalicylic acid
1-7-Dimethylxanthine,grey,0.157115400825449,0.282919108828114,M14-1-7-Dimethylxanthine
Propylparaben,green,0.597935096505413,0.0944412133938592,M12-Propylparaben
L-Tyrosine,purple,0.661423346752936,0.0384726128335617,M24-L-Tyrosine
Caffeine,grey,0.181520980992237,0.282363165099749,M14-Caffeine
L-Acetylcarnitine(C2),sienna3,0.822628094573591,0.0618372632833986,M29-L-Acetylcarnitine(C2)
Propionyl-L-carnitine(C3),sienna3,0.720569123036606,0.0253526649668852,M29-Propionyl-L-carnitine(C3)
Butyrylcarnitine(C4),midnightblue,0.438003077251667,0.0480035447349194,M20-Butyrylcarnitine(C4)
Valerylcarnitine(C5),midnightblue,0.470322685526915,0.0455094974911652,M20-Valerylcarnitine(C5)
Hexadecanamide,steelblue,0.902885914190051,0.217720785093575,M31-Hexadecanamide
Hexanoylcarnitine(C6),midnightblue,0.944914171380542,0.810705726274882,M20-Hexanoylcarnitine(C6)
Oleamide,steelblue,0.781752876011449,0.17109467938372,M31-Oleamide
Stearamide,steelblue,0.781445271938494,0.0728324050000158,M31-Stearamide
2-Octenoylcarnitine(C8:1),darkgrey,0.940061111539001,0.604470757086123,M6-2-Octenoylcarnitine(C8:1)
Octanoylcarnitine(C8),midnightblue,0.950814054561137,1.18989491166033,M20-Octanoylcarnitine(C8)
Decadienoylcarnitine C10:3,darkgrey,0.940518500567442,0.600070638545283,M6-Decadienoylcarnitine C10:3
fatty amide C20_1,darkturquoise,0.892231086361144,0.330779311857289,M11-fatty amide C20_1
DecenoylcarnitineC10:2,darkgrey,0.864810725830449,0.269294733566967,M6-DecenoylcarnitineC10:2
