	L-1	L-2	L-3	M-1	M-10	M-11	M-12	M-13	M-14	M-15	M-16	M-17	M-18	M-19	M-2	M-20	M-21	M-22	M-23	M-24	M-25	M-26	M-27	M-28	M-29	M-3	M-30	M-31	M-32	M-33	M-34	M-35	M-4	M-5	M-6	M-7	M-8	M-9
R0116V1	-0.053606025590099	0.00165329199854005	0.0840911256393615	-0.0103254911691778	0.0297170783762887	0.0500621196317962	-0.0256928798022316	-0.00812089593035404	0.0356209875487479	-0.00219027915256188	0.0101864752115638	-0.0425855017017699	-0.0289950821145973	-0.00310909635308725	0.00612331920672276	-0.0177245285805226	0.0286901843601895	0.00291373272379762	-0.0220713675431322	-0.0081600730950507	0.0398422186923732	-0.0394749585948712	-0.0345543583114138	-0.0352022226105219	0.00447522263372572	0.00340474177215092	-0.0129029320945625	-0.0189698602298114	-0.0330814056636576	-0.0243557785632036	-0.0132521449740879	-0.050147131027578	-0.00579147525258441	-0.0393450338257799	0.0705050153234799	-0.0152541683335808	-0.0141514631420701	-0.00895802744911633
R0124V1	-0.0298803782183203	0.00285231200562216	-0.00803722002540418	0.00273170957892784	-0.0268174032110854	-0.00738255898334483	-0.0441499847727832	-0.0444882636397881	-0.0412826888499298	-0.00618272897076774	-0.0884898178153515	0.0244861748494098	-0.0243711169590843	-0.0339913411313604	-0.04674224658046	-0.0599962864801818	0.00401326316077277	-0.0455867872503988	-0.0306708610922913	-0.12355681123849	-0.0258986787863709	0.100685990015528	-0.0659283121463691	-0.0622549586594855	-0.0671340275291673	-0.0633493001545193	0.0359445987304724	-0.0286317949871404	0.0176988112961224	-0.0481317353006383	-0.0127889250094653	-0.0295549500412499	0.0769160007908486	-0.0459270314615942	0.0230896064953442	-0.0784493751788534	-0.0140156687203043	-0.0708402849807762
R0137V1	-0.0481465128407853	-0.0316814702664557	0.0335618609696021	0.0815830413668631	0.0045099362898568	0.0155840686119152	-0.039950308990136	-0.0478161378372281	-0.0210290847925536	-0.0127113655886585	-0.0705100612618307	0.00906277681206016	-0.059922858996193	0.0158249914392663	-0.027726754345543	0.0289600800743583	0.00620479219552838	0.0121668761562733	0.0354658404632046	0.0128367957935317	0.0359955286196545	-0.0049172092936672	-0.0501426283907738	-0.0338623300204322	-0.0377509700342363	-0.0735379767254841	0.0245981111595041	0.0253214538604726	-0.00799150331626695	-0.0498214367780795	-0.00727593737168726	-0.0082232345372521	-0.0446744232683439	0.00205034106505865	0.140537372378444	-0.0670322716414038	-0.0224857018802317	-0.0628904709211236
R0142V1	-0.0978648307390306	-0.0456453921600916	0.0952067074443467	0.0296479303543311	0.0027453373522941	0.0865082321033261	0.025648349668393	-0.0463710083944466	-0.0572089850272307	-0.0221804739094551	-0.0795308884669251	-0.0207404325950909	-0.0642781704707945	-0.0142880989380522	-0.0442154861814762	-0.0261724478337231	0.0200139476530162	-0.0836349507293728	0.0105550348846092	-0.0115896737049075	-0.00761498410270981	-0.00321081971717648	-0.0682049677769355	-0.0676969847476361	-0.0136174307286061	-0.0847192256786525	-0.00316898694724439	-0.020054867858567	-0.00966472195742339	-0.0227877493540589	-0.0230353376311719	-0.00663431716178825	-0.000187542570650217	0.0332939981826882	0.0909124737488141	-0.0351073253065603	-0.0204449732255942	-0.062865629775464
R0103V1	0.0125197429544363	0.0833290523794934	-0.0014456035887123	-0.0497073042312834	0.0861495253060758	0.127786861243642	0.374301372780002	0.136194594483775	0.121039444703014	0.022831331881848	0.156111634544948	-0.0460800935545465	0.123829959726468	0.0381820562947413	0.120100428917466	-0.0409895672837602	-0.021407151182867	0.0946938665618013	-0.0312449434127614	0.0619993701446241	-0.00411442682727289	0.00183500713559958	0.052250945073327	0.205059309028975	-0.0156616621867619	0.126558900397796	0.0242005983779068	0.0497325654163459	0.0574450487504299	0.157606329918401	-0.00568579507411643	0.0269921311303507	0.185885917565284	0.0340403055382689	-0.0519202265735016	0.282858164114673	-0.0168129052257851	0.168132799707876
R0117V1	0.053945280525284	0.0382734319465867	-0.076534126204472	0.0215897622238719	-0.00206251609304509	-0.0402729488673898	-0.0470530134282735	0.00293270227237432	0.00559062494301407	-0.00297570395309894	0.0349930952650585	0.0262817920398916	-0.0339784177132553	0.0598061133707098	-0.0160890532621372	0.000686368172441898	-0.0386079754749485	0.011981359548514	-0.00870200818009081	0.0283413079272501	-0.0303455253310244	-0.0170680905706822	0.017467375425128	-0.00554052915493768	-0.0290861766943006	-0.0207622390072436	-0.0283765226151453	-0.0232837911587591	0.00827330393959009	-0.0417099895247039	0.0285151820325892	0.0260646862962166	-0.0433771949635328	0.00630292210689531	0.0122530485343221	-0.0442860665954905	0.0112861887903226	0.000419526604188407
R0164V1	0.0248808959761348	-0.0295574418912994	-0.0582471008150983	-0.0308737962517792	-0.0281621644568987	-0.0385461866073231	-0.00951183331011059	-0.0186024488780001	-0.0214835181871821	-0.0526025765037089	-0.0349562930846093	0.0974095062175208	-0.0348788884640963	-0.00906026208985064	-0.052936374799829	-0.00101875118674261	-0.0465768275996515	0.0538196570969951	-0.0136229899032221	0.014159239625546	-0.0359387051328461	-0.0451190665950262	-0.0139048100735276	0.00336677416194047	-0.0694670037986408	0.00289409484652315	0.0254610538644483	-0.0261994873211251	0.0129198307335998	-0.0331287015606266	0.0169366891272297	-0.0335804503229912	-0.0118567040241216	-0.0294096874191738	0.0353866900462004	-0.0541040307148267	0.0171161763585942	-0.0295244188076336
R0160V1	-0.0386334868690566	-0.0443347449992984	0.0554287518797467	-0.0256417108891441	-0.030520401217749	0.0316432986095559	-0.0466331796017798	-0.0493119549627716	-0.0484965353791169	-0.0333814482782669	-0.0306483828243684	-0.0418713207915055	-0.0331759749856079	-0.0491106138518694	-0.0428911516072025	-0.0240885698649414	-0.0498812101677477	-0.0172385266501055	-0.00440861458120291	-0.0209832405184535	-0.0497665445678872	-0.0747162083607466	-0.0347391543259436	-0.0782255253707234	-0.0478128228019723	-0.0438523321469923	-0.0341931183254455	-0.00693134794501472	-0.0420839829425782	-0.0174294960644427	-0.0356693071108269	-0.0422731084212185	-0.0416147517422323	-0.0149658317771873	0.0137538439201964	-0.0325303446318992	-0.00456194316015635	-0.0207599019022136
R0139V1	-0.0414598338646625	0.0196210081299637	0.0126021789536421	0.0427199769773674	0.0148505385029365	-0.0225140353785349	-0.0519807068135431	-0.0421135578703201	-0.0791825496738201	0.00672479517151893	-0.0462249311622444	-0.0258166648950258	-0.0165628437356555	-0.0235296714614207	0.0219685662964769	0.0280754132125188	0.0333261464812411	-0.0484787841371585	0.000772247780768015	0.0110407615761513	0.0355823841360033	-0.0397177185649383	-0.0557124696337564	-0.0448042182078648	-0.00519273438484483	0.0411137986670732	-0.0550408531438384	-0.0390781807045901	-0.0622359854221932	-0.0490086714610209	-0.0423689099030684	-0.0145780940077554	0.0817968178241281	-0.0489339584848662	-0.0211688086877662	-0.0501250803828139	-0.00911516708505284	-0.0505597856775194
R0119V1	-0.0721372006575959	-0.0471852527576091	0.0484106596132258	-0.0656979181233223	-0.0248356545126758	-0.033936021591585	-0.015447191489636	-0.00290905858892835	0.0249224678801121	-0.0433736707350361	0.0108524599728717	-0.0424081259503204	-0.0282097651222116	0.058504569433132	-0.0294439985390256	-0.0698462050008175	0.0458717421763862	0.0599343565040826	-0.0627589219462658	-0.0591293373622188	0.0418976456549809	-0.0221153366105536	0.0220055257627764	0.0530881678133476	-0.0631172812444076	-0.0535067000685745	0.0410924786417516	-0.0266102594849146	0.0825277379547815	0.0272121710079312	0.00499671868304267	-0.027599188014519	-0.0355417701451434	0.00641367982039341	-0.0475124903842611	-0.0209622852019958	-0.0448496550381569	-0.0129476397452235
