,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
linolenyl carnitine C18:3,black,0.703209932590109,0.26671302641971,M1-linolenyl carnitine C18:3,-0.000360154628162354,0.994292458868608,0.994292458868608,-0.000229886673098148,0.99637073713347,0.99834908256686
Linoleyl carnitine C18:2,black,0.769416962246702,0.338796416357801,M1-Linoleyl carnitine C18:2,0.0594800359892181,0.237030558545818,0.50044304682219,0.0594885756020486,0.238754196152096,0.589329977843781
Oleoylcarnitine C18:1,darkolivegreen,0.893599960721366,0.187410997940088,M8-Oleoylcarnitine C18:1,0.0650335397238484,0.195987734618647,0.460447980340848,0.0578644828788675,0.251841401263407,0.59245755965663
Stearoylcarnitine C18,darkolivegreen,0.826700422540152,0.12307055931223,M8-Stearoylcarnitine C18,-0.00294852604298055,0.953299507901715,0.983562984343039,-0.00325786048823328,0.948602845993876,0.978717222057174
LPE 16_1,darkorange,0.897174425132735,0.474609584837989,M9-LPE 16_1,0.0797792416200148,0.112488079897864,0.35959304229645,0.0771662997545876,0.126234321363522,0.485662327164281
LPE 16_0,salmon,0.887373176175448,0.591100897634663,M28-LPE 16_0,0.0189041823869045,0.7072819278183,0.867421232229991,0.045871886858602,0.363816882373727,0.672709091944359
LPC 14_0 sn-2,lightcyan,0.886132417181759,1.02438773954345,M16-LPC 14_0 sn-2,-0.0854910329297623,0.088916469454301,0.32097389386335,-0.0791572500840462,0.116718617713363,0.485662327164281
LPC 14_0 sn-1,lightcyan,0.908616728503242,1.0599087068091,M16-LPC 14_0 sn-1,-0.0679477013326919,0.176650150170677,0.451424457241324,-0.0631048302102153,0.211350200529793,0.565759877896923
LPE 18_3sn-1,salmon,0.813533945663435,0.380441941843352,M28-LPE 18_3sn-1,0.00777423329820603,0.877282996677323,0.945139140066729,0.0433109885507495,0.391240713658017,0.689767129614935
LPE 18_2 sn-2,magenta,0.908380667669368,0.94556865301846,M19-LPE 18_2 sn-2,0.0620106214002639,0.217634083537861,0.471540514332032,0.0671161310950586,0.183688379705848,0.551065139117545
