	species	species_pct	genus	genus_pct	family	family_pct	order	order_pct	phylum	phylum_pct
T2DCAG00425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00429	Ruminococcaceae bacterium	75	Ruminococcaceae	75	NA	NA	Clostridiales	76	Firmicutes	78
T2DCAG00430	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	71
T2DCAG00431	Paraprevotella clara	98	Paraprevotella	100	Prevotellaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00434	Eubacterium siraeum	93	Eubacterium	93	Eubacteriaceae	93	Clostridiales	95	Firmicutes	95
T2DCAG00435	NA	NA	NA	NA	NA	NA	Bacteroidales	72	Bacteroidetes	72
T2DCAG00436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00441	Alistipes shahii	100	Alistipes	100	Rikenellaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00446	Lachnospiraceae bacterium	100	Lachnospiraceae	100	Clostridiaceae	99	Clostridiales	100	Firmicutes	100
T2DCAG00447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00448	Prevotella stercorea	88	Prevotella	91	Prevotellaceae	91	Bacteroidales	92	Bacteroidetes	92
T2DCAG00449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00451	NA	NA	NA	NA	NA	NA	Bacteroidales	73	Bacteroidetes	73
T2DCAG00452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00453	NA	NA	NA	NA	NA	NA	Clostridiales	71	Firmicutes	71
T2DCAG00454	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	70
T2DCAG00455	NA	NA	NA	NA	NA	NA	Clostridiales	81	Firmicutes	82
T2DCAG00456	Prevotella copri	77	Prevotella	85	Prevotellaceae	85	Bacteroidales	88	Bacteroidetes	88
T2DCAG00457	Prevotella copri	86	Prevotella	92	Prevotellaceae	92	Bacteroidales	94	Bacteroidetes	95
T2DCAG00458	Eubacterium biforme	88	Eubacterium	90	Eubacteriaceae	90	Clostridiales	92	Firmicutes	93
T2DCAG00459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00460	Dialister invisus	99	Dialister	99	Veillonellaceae	100	Selenomonadales	100	Firmicutes	100
T2DCAG00461	NA	NA	NA	NA	NA	NA	Burkholderiales	71	Proteobacteria	74
T2DCAG00462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00463	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	76
T2DCAG00464	NA	NA	Bacteroides	70	Bacteroidaceae	70	Bacteroidales	89	Bacteroidetes	90
