	L-1	L-2	L-3	M-1	M-10	M-11	M-12	M-13	M-14	M-15	M-16	M-17	M-18	M-19	M-2	M-20	M-21	M-22	M-23	M-24	M-25	M-26	M-27	M-28	M-29	M-3	M-30	M-31	M-32	M-33	M-34	M-35	M-4	M-5	M-6	M-7	M-8	M-9
R0116V1	-0.053861451669313	0.001746511816398	0.0849456366735359	0.0438226606575023	-0.0395757389430784	-0.0393810874735605	-0.0263973479756963	-0.0359855677886484	0.036212639378282	-0.0224980570828123	-0.00192397066597751	-0.0429355588692656	-0.02915237112821	-0.00922647907620695	0.00622611981410477	0.00981756024365835	0.0510736494245138	-0.0191852807465073	-0.0263787425621942	-0.00810727738862773	-0.00979247236990216	0.00537492798325357	-0.0351777419037966	-0.0173148962367175	0.00400796474658669	0.00351155387088609	-0.00928602748412189	-0.0122359769389257	-0.00540589482471087	-0.0246353465719807	0.0319095166675129	-0.0502148462247316	-0.0217061906922855	0.0298341442775655	-0.0164476281983221	-0.0157977598816414	0.00288100679562181	0.0711297599955267
R0137V1	-0.0484737243124207	-0.0318274284261372	0.0336746362970916	0.039038194582595	-0.00463556214252363	0.00206630865688423	-0.0406888382277128	-0.0346382957222499	-0.0214277455001603	-0.00930877069556462	-0.0125484223922152	0.00918770774574688	-0.0603200890868241	0.012484255704279	-0.0282072895638408	-0.0722144584164708	0.0160237653961119	0.0257443745954268	-0.00594519484162298	-0.0480381362254256	0.082987529490555	0.0247523533589212	-0.0509435427171504	0.0307235800666834	-0.0385739046687924	-0.0742005588246183	-0.0635505890689785	0.0276071590889167	-0.0448767035603431	-0.0501837621568584	0.00796234021862786	-0.00793134803915613	0.0454315772883505	0.00442597167909832	-0.0214747529000996	-0.0682064359366676	0.0122289548966996	0.141461683504818
R0142V1	-0.0985761353611774	-0.0458828851193036	0.0957715066508247	-0.00661558210575167	-0.002890828139954	0.0335294871337338	0.0250941622634221	-0.0687708689667762	-0.0558038359212134	-0.0132534561714863	-0.0221237452886693	-0.0208673721849712	-0.064694718499458	-0.0125722273043932	-0.045140540534492	-0.0813903931929319	0.0881418206099042	-0.0203098138333101	-0.0265046518006503	-0.0465953735291003	0.0304639984359625	-0.00383476445915204	-0.0691712040308627	-0.0259349896361899	-0.0142439937969667	-0.0854565178689488	-0.0635262126803622	-0.00196798744623182	0.000480073530981406	-0.0227879117994323	0.0222753073612342	-0.00615444489059989	0.0133182571308589	0.0025167024171369	-0.0153041995025225	-0.0358760487565524	-0.0847937654428005	0.0916410524377931
R0103V1	0.0128052992356379	0.0835341120221151	-0.00151540336361311	-0.00320487188739221	0.00217017975416434	0.0343390381998003	0.375119686802062	0.206271301028253	0.120909093964975	-0.00661349729618203	0.0234547409877108	-0.0464647219808353	0.124716311778828	0.0625099869615159	0.122373188689439	0.158135760865911	0.130151330402018	0.0504637477665473	0.0541004929521168	0.137191148691957	-0.0495927774671045	0.0515539042416289	0.0524414766864208	-0.041057821269281	-0.0162511833170683	0.127736470219036	0.168926076228253	0.0277808325611504	0.189790873278535	0.159408172356588	-0.0217896510091483	0.0275838924000647	-0.0344607856062434	0.0865258834553768	-0.015144884581986	0.286117625007454	0.0955534503065858	-0.0518345731915086
R0117V1	0.0543689331015993	0.038659768116546	-0.0775522367050413	-0.0312431498601583	-0.0169224261663499	0.00653497144142655	-0.0477959494768059	-0.00608868462062797	0.00428627891685477	0.0251920310721254	-0.0027468882552478	0.0265364996966428	-0.0341768079894043	0.0282867762898665	-0.0163528951005874	0.0350392903821252	-0.0407816111782836	-0.0235404354668064	0.0276999248025951	0.00304222609031109	0.0224566091705505	0.0618902700242578	0.0173123940905233	0.00176748487507646	-0.0298747561037401	-0.0208922635242689	0.000155551372842484	-0.0291313972831105	-0.0436738372960388	-0.0420791634700011	-0.0403902306201267	0.0264799030114557	-0.00744211876408981	-0.00230691693608671	0.00688164337682543	-0.045181599368732	0.0121502067578194	0.0126029423907642
R0164V1	0.0250311497444735	-0.0295982174274248	-0.0592575198784996	-0.0371537095336844	-0.0452735425210497	-0.029358690539341	-0.0100501263269185	0.00282146570289385	-0.0218215524733539	0.0122808477303906	-0.053129330672269	0.0983598220081341	-0.0351249029859412	0.0138502443868744	-0.0539249162502065	-0.0360597409259155	-0.0390420720202823	-0.0265408842716122	0.00256512243644221	-0.0186229864679084	-0.0304989748723498	0.000826138777056478	-0.0143936958409821	-2.23681878197771e-05	-0.0705787530099721	0.00294510634320387	-0.0299735691581742	0.0287402325571079	-0.0114425705067617	-0.0332554429960238	-0.0489568336619464	-0.0332789031910305	-0.00978494507946812	-0.028641050459165	0.00560676211549755	-0.0551330765986131	0.0541522923844032	0.0358197902745864
R0160V1	-0.0387100894256593	-0.0446307781930481	0.0561414960835151	-0.0518188930470536	-0.0751810871916502	-0.0148960611665788	-0.0473697518030139	-0.0793545519475353	-0.0453903895730481	-0.0452395287942188	-0.0336365024312151	-0.0422485390062	-0.0333621226495361	-0.0220300633264525	-0.0437742878551216	-0.0317316763113976	0.0323571809361474	-0.0069484578668239	-0.0446448132977658	-0.0495619261176822	-0.0251999190344847	-0.045780298364626	-0.035377759773582	-0.0237706905562556	-0.0487797711711869	-0.0441944256117438	-0.0211598408002121	-0.0351832870409922	-0.0418242223863875	-0.0176068016021215	-0.0525805838840416	-0.0423173664142636	-0.000807773426238543	-0.0311117483247223	-0.00807991540726771	-0.0333685858752278	-0.0175922397030308	0.014095974628108
R0139V1	-0.0417157973160984	0.0198420794118616	0.012413410350286	0.0386254869451268	-0.0398851205543935	-0.0490853353653567	-0.052763713914828	-0.0456077676485763	-0.0810798121157034	-0.0553180075804934	0.00706285862437412	-0.0259851898349959	-0.0166250839379813	0.0107778223424973	0.0223510722240149	-0.047468883867019	-0.0227330315409123	-0.039555853953464	-0.0579435836303064	-0.0423481430258881	0.043717669720293	-0.0112926771842163	-0.0565516596129558	0.0296190798822322	-0.00581256491814147	0.0415269711664535	-0.0511467658515622	-0.0573572762288883	0.0838355559089007	-0.0493414020006421	0.0369893409643139	-0.0143786194317311	0.00776410222907285	0.0147842446032137	-0.0170554648484417	-0.0511243881874755	-0.0492461571914699	-0.0209142996016647
R0119V1	-0.0726432297965666	-0.0475087118232191	0.0485937782881209	0.0458312577559544	-0.0219822746745945	0.00647480631289011	-0.0160262374080579	0.0529995038784864	0.026396977123406	0.0356027255574637	-0.0437089039289438	-0.0427675455905014	-0.0283828396231394	-0.0609022925738808	-0.030035211974872	0.0104323355746987	-0.0343545983240353	-0.0269401417501704	0.0891956702838168	-0.00284505717070552	-0.0657272052390967	0.0350599367258453	0.0219223447819115	-0.0706450150452956	-0.0642269282715953	-0.0539521917651926	-0.0132933742037191	0.0446901171481332	-0.035554084094158	0.0279684747849616	0.050662970334116	-0.0273336389696696	-0.0609961460080283	-0.025281520940454	-0.054192658777356	-0.0215809064938641	0.0606195355672438	-0.0474173381541517
R0158V1	0.0711264478877708	-0.0353300316209658	-0.0141057632588685	-0.0291604531270987	-0.0105000664560658	0.0374364436986664	-0.0318149712941363	-0.0174280460560889	-0.00699944461498163	0.0223060384305327	-0.0149987431267153	-0.00244068003040181	-0.0343340609520886	0.0390737908087927	-0.0564958525545276	-0.0648900722123774	0.0235618736875552	-0.0126255075983771	0.00956584504970166	-0.031366517299467	0.0224133780682771	-0.0387246812263394	-0.0507736281578451	0.0107643727504727	-0.0458022427219597	-0.0291993957576376	-0.0440597091591445	0.0737588079405164	0.0466047255059203	-0.018078434692384	-0.00557006958323479	0.0156970005980007	0.0556668526734312	-0.0211637934240444	0.0320432715200597	-0.0556093992974701	0.00689328976813355	-0.0263174798725328
R0125V1	-0.0138939472122682	0.0120745339195901	-0.0135833617875588	-0.0211914813595301	-0.0151732795602537	-0.0219230624864305	-0.00388584081528171	-0.0245237431456227	-0.0455510906875209	0.0246203410326815	0.0289893110786205	0.0780637408554928	-0.00318820972718658	-0.00619352651107282	-0.0190320451212506	-0.0432870079032737	0.00622247924401734	-0.0292760941314387	-0.0350634971541216	-0.023238704194254	0.00260260673974033	-0.0286102636098672	-0.02953054566824	-0.00904975845865402	-0.0491239449774495	0.0601242153744672	-0.0519386812191246	0.05675594805652	-0.00862369836920496	0.048371827026246	-0.00857505522729007	0.0769260705747742	-0.0179100795119958	0.11018749876491	-0.0567588533157404	-0.0310737985351636	-0.0410319545338448	-0.00447085131441657
R0140V1	-0.0321557710813006	-0.013141698888621	0.0402712417592832	0.00198032868744201	-0.0327638528308084	-0.0240412265281404	-0.0448797108772789	0.0420200751423566	-0.0375597023611621	-0.0529677213582593	-0.0605287665928969	-0.0429610358157226	-0.0520389136774016	0.0403598894191666	-0.0509478001111404	-0.0479850675431195	0.0392265867351468	-0.0114869469218045	-0.0611365739351372	-0.0698745744311485	0.00367790813015279	-0.0637764618561848	-0.0442711362175341	0.022584350559018	-0.0111998627117379	0.0304182836624501	-4.95609092537868e-05	-0.043694003794256	0.0135530315152447	-0.0713787844438697	-0.0275489075172021	-0.0465514949488702	0.0390026085304395	-0.0392599371464102	0.0721953190055685	-0.039584013625758	-0.019668935663715	-0.00926929981284352
R0145V1	-0.0119841274078264	0.0633150732790937	-0.00958509583920734	-0.0146574515866069	-0.00766262069738277	0.0194036596001574	0.0657672710503726	0.0557899119492865	-0.0505815430929259	0.0269002639341971	-0.0278770532689978	-0.0348122224553995	0.00264883708606305	-0.039408749266903	-0.0385917458882221	0.0253163740524937	-0.00180883933225516	-0.0114941475357601	0.02998189373711	0.0111767583824429	-0.0402101293217225	-0.00533031783606319	0.0181949477701709	-0.0260366276566632	0.0134249362567411	0.0083800824147091	-0.0104172841044512	0.0430526681341612	0.0241870276629824	0.0238787601157837	0.0100954470289051	-0.0620734543287494	-0.0300718444674826	-1.9329765298589e-05	0.00767413388585265	0.0202711346606409	0.0110500444540509	-0.045928214630855
