,module,kME,kIN,rename,HOMAIR_estimate,HOMAIR_p.value,HOMAIR_p.adjust,HOMAIR.adj.partial_estimate,HOMAIR.adj.partial_p.value,HOMAIR.adj.partial_p.adjust
Hexadecanamide,steelblue,0.902885914190051,0.217720785093575,M31-Hexadecanamide,-0.024159579333616,0.634760395975289,0.935870614238726,-0.0127333182305838,0.803075536825131,0.902579440378956
Hexanoylcarnitine(C6),midnightblue,0.944914171380542,0.810705726274882,M20-Hexanoylcarnitine(C6),0.0228459892312933,0.653286011466752,0.939271310420993,-0.0236218900857366,0.643611018916212,0.842309722742693
Oleamide,steelblue,0.781752876011449,0.17109467938372,M31-Oleamide,-0.0106470417442312,0.834196380852919,0.951646206828529,-0.0268060648713916,0.599554040547507,0.800774232238109
Stearamide,steelblue,0.781445271938494,0.0728324050000158,M31-Stearamide,-0.0298165688190433,0.557665510650041,0.875284887033482,0.00181443268555196,0.971655240931849,0.975347269158549
2-Octenoylcarnitine(C8:1),darkgrey,0.940061111539001,0.604470757086123,M6-2-Octenoylcarnitine(C8:1),0.0404045922759117,0.426809479989404,0.777830360728354,-0.00685185687174221,0.89325817321371,0.967538413362924
Octanoylcarnitine(C8),midnightblue,0.950814054561137,1.18989491166033,M20-Octanoylcarnitine(C8),-0.0651914575170075,0.199490715994917,0.432229884655654,-0.0828260936696768,0.104207357784246,0.312164477065413
Decadienoylcarnitine C10:3,darkgrey,0.940518500567442,0.600070638545283,M6-Decadienoylcarnitine C10:3,0.00881502848210308,0.862412949321543,0.951646206828529,-0.0380743763582423,0.455735519861005,0.69428458103825
fatty amide C20_1,darkturquoise,0.892231086361144,0.330779311857289,M11-fatty amide C20_1,0.00558268148631249,0.912604311163769,0.951646206828529,-0.0190063853678487,0.709715062874624,0.866513771840867
DecenoylcarnitineC10:2,darkgrey,0.864810725830449,0.269294733566967,M6-DecenoylcarnitineC10:2,-0.0111738232797944,0.826120472915747,0.951646206828529,-0.0397172591239217,0.436512022653716,0.675554320773608
Carnitine C10:1,black,0.853579793744346,0.887958774558617,M1-Carnitine C10:1,-0.0498661717023022,0.326612487912218,0.656592114875077,-0.0744507594049339,0.144287778000275,0.360719445000686
Decanoylcarnitine(C10),midnightblue,0.936866732398081,1.08898868108514,M20-Decanoylcarnitine(C10),-0.0469711157477614,0.355515501227286,0.700257805447684,-0.0657036902921867,0.197718682964794,0.431968861466019
17-Hydroxyprogesterone,black,0.381760842287882,0.0221035641976148,M1-17-Hydroxyprogesterone,0.14218769375211,0.0049596414278266,0.0261386507682753,0.102080584654078,0.0450379996494051,0.187119345606212
FFA C22_1,darkturquoise,0.954205490832558,0.802596124627007,M11-FFA C22_1,-0.00674388412817324,0.894522663960379,0.951646206828529,0.013643591191332,0.789317388454463,0.894865643887327
carnitine C12:2,black,0.890855760744275,1.03017555492788,M1-carnitine C12:2,-0.0108777125288635,0.830657848342215,0.951646206828529,-0.0408137300595671,0.423945368653587,0.674518880252773
fatty amide C22_0,darkturquoise,0.941765255325275,0.766038540633552,M11-fatty amide C22_0,-0.0136619690389079,0.788236326873442,0.951646206828529,0.00302913636936402,0.952697063040182,0.975347269158549
Carnitine C12:1,pink,0.922124656450827,1.28336513318542,M23-Carnitine C12:1,-0.0158693956902542,0.755036113154577,0.951646206828529,-0.0726663247027155,0.154180058728501,0.37581389315072
Carnitine C12:0,pink,0.937078738196517,1.45296483296019,M23-Carnitine C12:0,-0.0356933224280532,0.482716237331502,0.834030007904679,-0.0479603294782616,0.347342784346928,0.616785702766399
Cortisone,grey,-0.612335745644417,0.126621456090525,M14-Cortisone,0.0830218097051653,0.102049010860906,0.278500327262118,0.100383274662378,0.0487464402391026,0.187119345606212
Hydrocortisone,grey,-0.591025449570117,0.125536846152711,M14-Hydrocortisone,-0.010077550947174,0.842946664674738,0.951646206828529,0.0173297724722781,0.734310473189974,0.883892236247191
carnitine C14:3,pink,0.768057573484524,0.433882111855222,M23-carnitine C14:3,-0.0437761775800574,0.389218505023415,0.744094200780058,-0.0483348097634785,0.343586709481951,0.616785702766399
Tetradecadiencarnitine C14:2,black,0.869065769248729,0.884740209374739,M1-Tetradecadiencarnitine C14:2,-0.0858555029498747,0.0908350056883651,0.254642922816917,-0.103209035880112,0.0427059596748711,0.187119345606212
Tetradecenoylcarnitine C14:1,pink,0.949715849147922,1.40857441298392,M23-Tetradecenoylcarnitine C14:1,-0.0875771244931531,0.0845188118803038,0.245143926316854,-0.118005461108782,0.0203934953129624,0.124272862063364
Tetradecanoylcarnitine C14,pink,0.811461837208589,0.612622364224738,M23-Tetradecanoylcarnitine C14,0.0295218851078759,0.561567147441658,0.875284887033482,0.00457491543636249,0.928611608986358,0.967538413362924
Sphingosine-1-phosphate,grey,-0.206740197859768,0.00407695895334648,M14-Sphingosine-1-phosphate,-0.0427034514035351,0.40095522549375,0.755010413954833,-0.0415089795358053,0.416087510640745,0.674518880252773
Hexadecadienoylcarnitine C16:2,black,0.844183795843251,0.529601554187396,M1-Hexadecadienoylcarnitine C16:2,-0.0905099970014273,0.0745777337001367,0.227229032367604,-0.0651422179755521,0.201585468684142,0.431968861466019
Hexadecenoylcarnitine C16:1,pink,0.781442773168905,0.414275530788138,M23-Hexadecenoylcarnitine C16:1,-0.111265271047748,0.0282174896624427,0.107890401650516,-0.141320369703231,0.00541129421343026,0.0502477319818524
Palmitoylcarnitine C16,darkolivegreen,0.872052803818855,0.151424551451665,M8-Palmitoylcarnitine C16,0.0115633032038244,0.820161199244827,0.951646206828529,-0.0636008839908823,0.212482156434518,0.44552710220141
linolenyl carnitine C18:3,black,0.703209932590109,0.26671302641971,M1-linolenyl carnitine C18:3,-0.0720575574077853,0.156054159895243,0.377674718448357,-0.0297105451920227,0.560597008581187,0.796661049643001
Linoleyl carnitine C18:2,black,0.769416962246702,0.338796416357801,M1-Linoleyl carnitine C18:2,-0.11520869157142,0.023054518418318,0.0899126218314401,-0.0914134987828474,0.072825418399719,0.256699046106847
Oleoylcarnitine C18:1,darkolivegreen,0.893599960721366,0.187410997940088,M8-Oleoylcarnitine C18:1,-0.0688142018195333,0.175587587250322,0.402818582515444,-0.101789440085362,0.0456567410277204,0.187119345606212
Stearoylcarnitine C18,darkolivegreen,0.826700422540152,0.12307055931223,M8-Stearoylcarnitine C18,0.00574322345970879,0.910101533076406,0.951646206828529,0.0215563711555548,0.672885594064001,0.857599286552158
