	L-1	L-2	L-3	M-1	M-10	M-11	M-12	M-13	M-14	M-15	M-16	M-17	M-18	M-19	M-2	M-20	M-21	M-22	M-23	M-24	M-25	M-26	M-27	M-28	M-29	M-3	M-30	M-31	M-32	M-33	M-34	M-4	M-5	M-6	M-7	M-8	M-9
R0167V5	0.155092327915896	-0.0730540852646433	-0.0805552422388128	-0.162061442062819	-0.0173420630448121	-0.0808145010867615	0.0232879216191122	0.0324383757878927	-0.0721902541487935	0.055723854421441	0.184540038485835	0.0634481968290815	-0.0729006625345796	-0.113557335704971	-0.0539027918395551	-0.0120267817794177	0.172509254062137	-0.133996197172808	-0.0161042017721596	-0.0339410140978643	-0.0384867280877015	-0.00733634005350864	0.0298644084345267	-0.0187097360545487	-0.15831086872893	0.0603166321789288	0.025052135544565	-0.0403381430604501	0.200410331014802	0.00516639223715433	-0.000758747737148772	0.121269963765069	0.220173450004951	-0.0903363084421065	-0.0363194821667606	-0.138194648769616	-0.0568296683112259
R0117V5	0.133292353057331	-0.13807592915672	-0.0996424224573013	-0.0363252745056349	-0.101152673825015	-0.0287833305264248	-0.0900584025354264	-0.0699878525865396	-0.00039699073982939	0.00820065430144801	-0.0742157064820206	-0.11239854440662	0.21811032703323	-0.0426951970700783	0.226500933045659	-0.0669319873206108	-0.0784123101113809	-0.0714420589212137	-0.0823915692293566	-0.0215129105783773	-0.0541598767403544	0.0940246495864888	0.00796245563943088	0.21651266580324	-0.133069426564709	-0.0661132371655246	-0.0593211479047814	-0.0833268061523917	-0.0461544505664595	-0.020995337768817	-0.0243735659100974	0.0481847350219002	-0.105120291833046	-0.062165232516699	0.00522552797718711	-0.0600638170816281	-0.028334489193809
R0204V5	-0.039845942162846	-0.0221117942878761	0.0487810757244562	-0.065207330733716	0.0472610494992631	-0.0639002695571766	-0.0613891219597307	-0.0385746868407137	-0.155092514803892	-0.145998437461098	-0.0737489673108127	-0.0444791723721826	-0.00539415998999523	0.0362533512308109	0.0869916999511264	-0.0744124470529124	-0.0441365192095648	-0.122897440250082	-0.0451098091918834	0.0255880446364451	0.234293894614776	-0.0513608056375985	-0.033348487311903	0.198522037913304	-0.0690207288851301	-0.0199402353227623	-0.0476966266066416	-0.0755562395812672	-0.086857297319475	-0.092349891022752	-0.115158056706775	-0.0530144302830588	-0.0739195097811549	0.0431764686871365	-0.114072723302367	-0.0606289222831451	-0.0864459864467301
R0213V5	0.022665196405814	-0.118290451539276	0.0729155290830236	-0.117316783785249	-0.0836310207609847	-0.104566494711656	-0.0993907658555384	0.140444725216651	-0.0661542236844426	-0.0914669921013114	-0.0424543664236632	-0.0608128952114214	-0.084657021203603	-0.102890178147087	0.0752856388509724	-0.0730118580788348	0.108541360967831	-0.0904099429513974	0.0969023971761526	-0.0604324111724335	-0.0211351385759704	0.0685010638676238	-0.0926627145894801	-0.0581371221136109	-0.0845163164169133	-0.062129246373629	0.200868004535952	-0.000340028186847739	-0.0628486945962954	0.0321016016445905	0.122553181756334	-0.0527177528335691	0.120426224411784	-0.0200843445545256	-0.0855948527496402	-0.122354716685611	-0.0254258635087102
R0239V5	-0.00054274503089962	-0.0531610186266496	0.152290153973587	-0.0674449943113101	-0.00277139072548382	-0.0053672192587646	0.0391720911802612	0.0486997851132663	0.0285232507928179	0.0875235602890113	0.0181490889164606	0.00107773347439533	-0.0575258971589843	-0.0515302852670882	0.0569122926309504	-0.000602558999531003	0.0896313920776109	-0.0836887617364259	0.0178889995405029	-0.0300684172654653	-0.0434843588166403	-0.00165639233799255	-0.0034866114506783	0.234249776183004	-0.0478112290093428	-0.0347547075798066	0.029407095858045	-0.0417398110326423	-0.0196453016010639	-0.0922955827235532	0.0333516679243849	0.0838328628640324	0.106116234339885	-0.0492534144220763	-0.0399979205035224	-0.0576873243130758	0.0627484943590152
R0244V5	0.136360557735857	-0.175814724053391	-0.01316837998639	0.0227455473670087	0.0925189130336802	0.0417154426736405	-0.0086603154771863	-0.0429425193673959	-0.094403064924393	-0.138403262646827	-0.0938706123722386	0.097189654765026	0.0279224612402048	0.116541426761626	0.0543987489692298	-0.0196203297585827	-0.0850412635281049	-0.0298045081893197	-0.0713862073315769	0.0764588848557351	-0.0503861886886923	-0.031857888434567	0.106652373839292	0.0837230795093299	0.0787468890628233	-0.00962832955137982	-0.0269371350481215	-0.0740427757085204	-0.0434008530159574	0.0370478786860871	-0.0715363364033827	0.0218369786768979	0.0171263658415981	-0.0646614203325097	0.188205290818256	-0.00885241306682884	-0.0446933857165976
R0243V5	0.0350983537001667	-0.112428607374307	-0.0932612997298945	-0.00664034581879665	0.163136435977667	0.127198175258107	0.125526179672672	-0.0489271898765515	-0.0652703483011056	-0.0844781900130917	0.0146674080037748	0.112859959075954	0.210954720150411	0.211402240274767	0.0807503502296487	0.095051254867341	-0.044286693956043	0.18085572641866	-0.060850737963242	0.219060269752918	-0.00460760534387328	-0.0258088336068474	0.26716583166955	0.217569182609048	0.0180764211958375	0.268317411583805	-0.0518220882528236	-0.0613397064487462	0.0914786058592437	0.229792225712428	-0.0287581135977954	0.214508602877835	0.117843778570626	-0.0393716132741925	0.115693361279321	0.00469111352029654	0.0179683078320667
R0227V5	0.0967921982929593	-0.104545605435027	-0.0886799762858796	0.104832919181704	0.0503375136542039	0.211414869643246	0.303646369551514	-0.0562516048234514	-0.0405539287580079	-0.117945179063925	0.0642528071311986	0.260408544003071	0.18710113636804	0.207526961342654	0.0612187662805138	-0.0768084224101992	-0.0491613551786122	-0.00751754207516308	-0.0649320376098721	0.246284592473396	-0.0349517508172109	0.0200572379397017	0.0931989848528323	0.120258513074712	0.10772237518779	0.284239076234575	-0.0664611984279777	-0.0219943076118827	0.0668404297367004	-0.0334509773052725	0.0867612428310527	0.133013741295387	0.284505291167015	0.0366825461444902	-0.0644419763843632	0.162453857941359	0.0108349720455574
R0249V5	0.0111881779900767	0.0470908248761107	-0.0892660578631902	-0.0769736993235251	-0.0241561727400326	-0.0517079288676733	-0.0323725565676456	-0.0550995781259099	0.0335611723404356	0.0242520850829358	-0.0572478009782425	-0.0937819260029901	-0.00204122817370045	-0.0379439971425545	0.0738190804723186	-0.0295703878844155	-0.0630989637172773	-0.0265481432957658	-0.0770908811874187	-0.0648213297056488	-0.0297043937876885	0.0102022240558202	-0.0185997480330386	0.0951751242175832	-0.0772015381269934	-0.0194676495846134	-0.0801751299332976	-0.0871890708547099	-0.0540364406744085	-0.0875865365565973	0.0096667509737512	-0.071336115811279	-0.0522815835446542	-0.0694201176644019	-0.0688232600977468	-0.0423066261440923	0.0704128913920786
R0238V5	0.0841257462060136	-0.177285648865463	0.0320155602760737	-0.0542265797213927	-0.0964224895214779	-0.0647282696846143	0.0518437410090982	-0.0315974336840196	-0.0142737760227541	-0.0342410427538191	-0.0473889170821868	-0.0233111440200315	-0.000866647706995696	-0.109363527782528	0.0208078244028159	0.00365865629316298	-0.0458220250796739	-0.0664383252763432	-0.0452806348205235	-0.0418943380766774	-0.0498006991502862	0.0634788980588077	-0.0399270802344438	-0.0490783543142715	-0.0902095627838807	0.0128343480451058	0.0477961737861851	-0.0562643890237122	0.138162793254924	-0.01983001661698	0.0482317002050514	0.0597305618345987	0.0947974270401325	-0.0664967964792155	0.123530219400691	-0.0948817069039415	0.129750931846141
