,module,kME,kIN,rename
SM 36_1,lightyellow,0.824724574981387,0.520112200999695,M17-SM 36_1
PC 32_1,violet,0.962902417162789,0.621954869927788,M32-PC 32_1
PC 34_0,brown,0.763643035417179,0.983168881597567,M3-PC 34_0
PC O-34_2,midnightblue,0.902583470898149,0.848182831273224,M19-PC O-34_2
PC 33_1,brown,0.856225380367863,1.63082132618577,M3-PC 33_1
PE O-38_7,darkturquoise,0.862551572164828,0.404011263160055,M11-PE O-38_7
PE O-38_6,darkturquoise,0.940775982913482,0.730865951097167,M11-PE O-38_6
PC 34_4,cyan,0.823153057429577,0.443929943100098,M4-PC 34_4
PC 34_3,cyan,0.786284193282393,0.345388279056204,M4-PC 34_3
PC 16_0_18_2,red,0.93332036334205,1.72099040654488,M24-PC 16_0_18_2
PC 34_1,brown,0.908207315508006,2.42256517627552,M3-PC 34_1
PE 38_6,brown,0.759036563903541,1.14067051225729,M3-PE 38_6
PC O-36_5,midnightblue,0.836318693420368,0.713214970427065,M19-PC O-36_5
PC O-36_4,midnightblue,0.900504699495122,0.754049619828423,M19-PC O-36_4
PC 35_3,red,0.820613836959806,0.877253236331222,M24-PC 35_3
PC 35_2,red,0.849812014291511,1.05100290846525,M24-PC 35_2
L-Thyroxine,grey,-0.133660603211227,0.00365298312137452,M14-L-Thyroxine
PC 36_6,lightgreen,0.806879382669421,0.239454535628813,M16-PC 36_6
PC 36_5,lightgreen,0.928127122937034,0.569575287454152,M16-PC 36_5
PC 36_4,darkred,0.972197577988891,1.00662237335401,M10-PC 36_4
PC 36_3,red,0.873884070760259,1.28197831214605,M24-PC 36_3
PC 36_2,red,0.963058343377904,2.1707711316245,M24-PC 36_2
PC O-38_6,midnightblue,0.911446583105543,0.853787829569202,M19-PC O-38_6
PC O-38_5,midnightblue,0.84645437483453,0.718298689192755,M19-PC O-38_5
PC 38_7,red,0.865330465193044,1.29972615415849,M24-PC 38_7
PC 38_6,brown,0.766060661398816,1.08552254200763,M3-PC 38_6
PC 38_5,darkred,0.882452344624201,0.412688996833394,M10-PC 38_5
PC 38_4,darkred,0.959298236262024,0.957696305031539,M10-PC 38_4
