,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
Hexadecadienoylcarnitine C16:2,blue,0.900004855079304,1.11855704372968,M2-Hexadecadienoylcarnitine C16:2,-0.0730034572598163,0.463655616436107,0.895130673470853,-0.0857362087608468,0.396356610106658,0.878574733048664
Hexadecenoylcarnitine C16:1,saddlebrown,0.775516424958156,0.80730571524006,M26-Hexadecenoylcarnitine C16:1,-0.102037484376042,0.305075984421933,0.895130673470853,-0.110385128208404,0.274254101779587,0.878574733048664
Palmitoylcarnitine C16,yellowgreen,0.879581139887055,0.175125390326947,M34-Palmitoylcarnitine C16,-0.205787062501259,0.0370332346423169,0.895130673470853,-0.21089230540357,0.0351906323751959,0.878574733048664
linolenyl carnitine C18:3,blue,0.719985481507126,0.428174396469045,M2-linolenyl carnitine C18:3,-0.138641057810966,0.162523120299315,0.895130673470853,-0.141640452165035,0.159814823769286,0.878574733048664
Linoleyl carnitine C18:2,blue,0.778903990302919,0.520778425652457,M2-Linoleyl carnitine C18:2,-0.105285507887338,0.289856876239842,0.895130673470853,-0.11822438765063,0.241400354409658,0.878574733048664
Oleoylcarnitine C18:1,yellowgreen,0.854355717760606,0.172503318359149,M34-Oleoylcarnitine C18:1,-0.0666065024799425,0.503830288108366,0.895130673470853,-0.0819563771222786,0.41758119616473,0.878574733048664
Stearoylcarnitine C18,yellowgreen,0.876950456880983,0.196641817998984,M34-Stearoylcarnitine C18,-0.0422188005222481,0.671978848730976,0.932126283769128,-0.0596967521543314,0.555198221690527,0.87871367030389
LPE 16_1,violet,0.875990667304356,0.423980540203175,M32-LPE 16_1,0.0309277899770491,0.756464918957966,0.932126283769128,0.0423873922796498,0.675411233251268,0.889899935702684
LPE 16_0,green,0.816894043069544,0.756527295944003,M12-LPE 16_0,-0.009017394087292,0.927968170097486,0.962520176430903,-0.000778715232629145,0.993864927759427,0.995651304170941
LPC 14_0 sn-2,cyan,0.908224293053035,1.02502472648583,M4-LPC 14_0 sn-2,0.0411453012261419,0.679857349723028,0.932126283769128,0.0568389200033292,0.57432211374205,0.87871367030389
LPC 14_0 sn-1,cyan,0.940982801108293,1.18911180357408,M4-LPC 14_0 sn-1,0.0759542040429595,0.445734319944789,0.895130673470853,0.0891731089737288,0.377625834961661,0.878574733048664
LPE 18_3sn-1,brown,0.860652372249425,1.75388474506253,M3-LPE 18_3sn-1,-0.0474376586387028,0.634194009912539,0.922894268156307,-0.0366030848394505,0.717688237017276,0.902898104634637
LPE 18_2 sn-2,magenta,0.931869567540229,1.37396036366586,M18-LPE 18_2 sn-2,-0.023429810278092,0.814273276756,0.932126283769128,-0.028001140465144,0.782129354121634,0.921548274337534
LPE 18_2 sn-1,magenta,0.914810471378898,1.30135463769086,M18-LPE 18_2 sn-1,0.0673827250478962,0.498860851590166,0.895130673470853,0.0628408703591349,0.534519100017375,0.87871367030389
LPE 18_1 sn-2,magenta,0.859781103245955,0.968360084072523,M18-LPE 18_1 sn-2,0.147036372818976,0.138310319189277,0.895130673470853,0.152355922243788,0.130215312583567,0.878574733048664
LPE 18_1 sn-1,magenta,0.806412347509468,0.801837129209824,M18-LPE 18_1 sn-1,0.164383020419132,0.0970648532343909,0.895130673470853,0.167090656042039,0.0965925160067004,0.878574733048664
LPC O-16_1,steelblue,0.943426463567481,0.729205901596089,M29-LPC O-16_1,0.0744292845300292,0.454946935882494,0.895130673470853,0.0702816130560292,0.487155639214811,0.87871367030389
LPC 15_0 sn-2,brown,0.792458933327069,1.26884908908263,M3-LPC 15_0 sn-2,-0.161146007157028,0.103919767259302,0.895130673470853,-0.155906518812345,0.121393286989031,0.878574733048664
LPE 18_0 sn-2,green,0.866733117716567,1.25835765389164,M12-LPE 18_0 sn-2,0.0747045407598,0.453276237801086,0.895130673470853,0.0836985243313918,0.407717882363425,0.878574733048664
LPC 15_0 sn-1,green,0.742846838190914,0.4305287862953,M12-LPC 15_0 sn-1,-0.0853569568519306,0.391294449123725,0.895130673470853,-0.0787461077254991,0.436114548028703,0.878574733048664
LPE 18_0 sn-1,green,0.857910979414043,1.25882177433915,M12-LPE 18_0 sn-1,0.0605949064217479,0.543170895322176,0.89789335071078,0.0701741982539777,0.487823126040378,0.87871367030389
LPC O-16_0,darkolivegreen,0.924056566109368,0.463310364929267,M8-LPC O-16_0,0.116235200707621,0.242311101893594,0.895130673470853,0.112538716650894,0.264943027452738,0.878574733048664
LPC 16_1 sn-2,brown,0.829238160113264,2.01999513492634,M3-LPC 16_1 sn-2,-0.0378917725902508,0.703943366012945,0.932126283769128,-0.0276891554540527,0.784497505333491,0.921548274337534
LPC 16_1 sn-1,brown,0.808543345001695,1.78412340394995,M3-LPC 16_1 sn-1,0.0313351691971099,0.75335907598869,0.932126283769128,0.0388297454083787,0.701304368636107,0.901991906048105
LPC 16_0 sn-1,brown,0.908234382972716,2.55265036337891,M3-LPC 16_0 sn-1,0.0536144084347599,0.59066454056428,0.89789335071078,0.0558347866972422,0.581113646961507,0.87871367030389
LPC 16_0 sn-2,brown,0.816802423064946,1.8624899271945,M3-LPC 16_0 sn-2,-0.0583102797146501,0.558506987108499,0.89789335071078,-0.058375184922158,0.564003673387228,0.87871367030389
LPE 20_5 sn-1,lightgreen,0.856986707200153,0.565303186176041,M16-LPE 20_5 sn-1,-0.0156510692247687,0.875314147421188,0.941644441006714,-0.00966009704979542,0.924006115084217,0.990006551875947
LPE 20_4 sn-2,salmon,0.921297163745825,1.12208424430856,M27-LPE 20_4 sn-2,0.0674102506708733,0.498685102803977,0.895130673470853,0.0709413171375386,0.483066841552544,0.87871367030389
LPE 20_4 sn-1,salmon,0.94828492316155,1.30411060939639,M27-LPE 20_4 sn-1,0.0495516264833427,0.619145208133691,0.907769290120826,0.0502579096376291,0.619489191153095,0.87871367030389
LPE 20_3,darkmagenta,0.844347405913249,0.290250402528465,M7-LPE 20_3,0.00183871161486906,0.98529330205205,0.992584889240842,0.00366591915957729,0.971124152977104,0.995118658801983
LPC P-18_1,steelblue,0.942591640173906,0.727384085934659,M29-LPC P-18_1,0.084382549798542,0.396744003330041,0.895130673470853,0.0877001561810457,0.385586580558758,0.878574733048664
LPC O-18_1,darkolivegreen,0.903944771170082,0.315667584427683,M8-LPC O-18_1,0.0838265322144049,0.399873749140337,0.895130673470853,0.0785223752678434,0.437423353780425,0.878574733048664
LPC P-18_0,steelblue,0.952977210426725,0.795978971792023,M29-LPC P-18_0,0.164498628035636,0.0968267875815083,0.895130673470853,0.165180943874198,0.100518585189231,0.878574733048664
LPC 17_0,green,0.772157756057063,0.496364769611684,M12-LPC 17_0,-0.0404901913992873,0.684682296357193,0.932126283769128,-0.0373637556470752,0.712076351649733,0.901991906048105
LPC O-18_0,darkolivegreen,0.904601011798864,0.422268532470249,M8-LPC O-18_0,0.175971307692484,0.0754005350624857,0.895130673470853,0.172307781554387,0.0864807611756508,0.878574733048664
LPC 18_3 sn-1,brown,0.885124394637967,2.18753861953242,M3-LPC 18_3 sn-1,0.033729898396116,0.735182644912996,0.932126283769128,0.0501373398779292,0.620330759099379,0.87871367030389
LPC 18_3 sn-2,brown,0.79086275029571,1.5033049565366,M3-LPC 18_3 sn-2,-0.0635676737032727,0.523529914685271,0.89789335071078,-0.048557271452601,0.631404446428054,0.87871367030389
LPC 18_2 sn-1,magenta,0.851262961007668,1.15136833228167,M18-LPC 18_2 sn-1,0.0532180394638899,0.593416858903243,0.89789335071078,0.0486409278499386,0.630816076830604,0.87871367030389
